"","NSubs","baseCig","AlcRate","AlcOR","Days","Power.05","Power.01","AlcRate.Str"
"72",170,0.4,0.4,2,14,1,1,"Drinking Rate:  0.4"
"73",190,0.4,0.4,2,14,1,1,"Drinking Rate:  0.4"
"74",210,0.4,0.4,2,14,1,1,"Drinking Rate:  0.4"
"75",230,0.4,0.4,2,14,1,1,"Drinking Rate:  0.4"
"76",250,0.4,0.4,2,14,1,1,"Drinking Rate:  0.4"
"77",270,0.4,0.4,2,14,1,1,"Drinking Rate:  0.4"
"78",290,0.4,0.4,2,14,1,1,"Drinking Rate:  0.4"
"79",50,0.6,0.4,2,14,0.909,0.793,"Drinking Rate:  0.4"
"80",70,0.6,0.4,2,14,0.974,0.921,"Drinking Rate:  0.4"
"81",90,0.6,0.4,2,14,0.992,0.968,"Drinking Rate:  0.4"
"82",110,0.6,0.4,2,14,0.996,0.985,"Drinking Rate:  0.4"
"83",130,0.6,0.4,2,14,1,0.996,"Drinking Rate:  0.4"
"84",150,0.6,0.4,2,14,1,0.999,"Drinking Rate:  0.4"
"85",170,0.6,0.4,2,14,1,0.999,"Drinking Rate:  0.4"
"86",190,0.6,0.4,2,14,1,1,"Drinking Rate:  0.4"
"87",210,0.6,0.4,2,14,1,1,"Drinking Rate:  0.4"
"88",230,0.6,0.4,2,14,1,1,"Drinking Rate:  0.4"
"89",250,0.6,0.4,2,14,1,1,"Drinking Rate:  0.4"
"90",270,0.6,0.4,2,14,1,1,"Drinking Rate:  0.4"
"91",290,0.6,0.4,2,14,1,1,"Drinking Rate:  0.4"
"92",50,0.8,0.4,2,14,0.802,0.634,"Drinking Rate:  0.4"
"93",70,0.8,0.4,2,14,0.926,0.802,"Drinking Rate:  0.4"
"94",90,0.8,0.4,2,14,0.942,0.867,"Drinking Rate:  0.4"
"95",110,0.8,0.4,2,14,0.977,0.932,"Drinking Rate:  0.4"
"96",130,0.8,0.4,2,14,0.991,0.959,"Drinking Rate:  0.4"
"97",150,0.8,0.4,2,14,0.996,0.988,"Drinking Rate:  0.4"
"98",170,0.8,0.4,2,14,1,0.992,"Drinking Rate:  0.4"
"99",190,0.8,0.4,2,14,1,0.997,"Drinking Rate:  0.4"
"100",210,0.8,0.4,2,14,1,0.999,"Drinking Rate:  0.4"
"101",230,0.8,0.4,2,14,1,1,"Drinking Rate:  0.4"
"102",250,0.8,0.4,2,14,1,1,"Drinking Rate:  0.4"
"103",270,0.8,0.4,2,14,1,1,"Drinking Rate:  0.4"
"104",290,0.8,0.4,2,14,1,0.999,"Drinking Rate:  0.4"
"105",50,0.2,0.6,2,14,0.916,0.821,"Drinking Rate:  0.6"
"106",70,0.2,0.6,2,14,0.959,0.916,"Drinking Rate:  0.6"
"107",90,0.2,0.6,2,14,0.987,0.975,"Drinking Rate:  0.6"
"108",110,0.2,0.6,2,14,0.995,0.988,"Drinking Rate:  0.6"
"109",130,0.2,0.6,2,14,0.999,0.998,"Drinking Rate:  0.6"
"110",150,0.2,0.6,2,14,1,0.999,"Drinking Rate:  0.6"
"111",170,0.2,0.6,2,14,1,1,"Drinking Rate:  0.6"
"112",190,0.2,0.6,2,14,1,1,"Drinking Rate:  0.6"
"113",210,0.2,0.6,2,14,1,1,"Drinking Rate:  0.6"
"114",230,0.2,0.6,2,14,1,1,"Drinking Rate:  0.6"
"115",250,0.2,0.6,2,14,1,1,"Drinking Rate:  0.6"
"116",270,0.2,0.6,2,14,1,1,"Drinking Rate:  0.6"
"117",290,0.2,0.6,2,14,1,1,"Drinking Rate:  0.6"
"118",50,0.4,0.6,2,14,0.936,0.843,"Drinking Rate:  0.6"
"119",70,0.4,0.6,2,14,0.975,0.939,"Drinking Rate:  0.6"
"120",90,0.4,0.6,2,14,0.989,0.978,"Drinking Rate:  0.6"
"121",110,0.4,0.6,2,14,1,0.993,"Drinking Rate:  0.6"
"122",130,0.4,0.6,2,14,0.999,0.996,"Drinking Rate:  0.6"
"123",150,0.4,0.6,2,14,1,0.999,"Drinking Rate:  0.6"
"124",170,0.4,0.6,2,14,1,1,"Drinking Rate:  0.6"
"125",190,0.4,0.6,2,14,1,1,"Drinking Rate:  0.6"
"126",210,0.4,0.6,2,14,1,1,"Drinking Rate:  0.6"
"127",230,0.4,0.6,2,14,1,1,"Drinking Rate:  0.6"
"128",250,0.4,0.6,2,14,1,1,"Drinking Rate:  0.6"
"129",270,0.4,0.6,2,14,1,1,"Drinking Rate:  0.6"
"130",290,0.4,0.6,2,14,1,1,"Drinking Rate:  0.6"
"131",50,0.6,0.6,2,14,0.9,0.799,"Drinking Rate:  0.6"
"132",70,0.6,0.6,2,14,0.964,0.895,"Drinking Rate:  0.6"
"133",90,0.6,0.6,2,14,0.988,0.961,"Drinking Rate:  0.6"
"134",110,0.6,0.6,2,14,0.997,0.985,"Drinking Rate:  0.6"
"135",130,0.6,0.6,2,14,0.999,0.994,"Drinking Rate:  0.6"
"136",150,0.6,0.6,2,14,0.999,0.995,"Drinking Rate:  0.6"
"137",170,0.6,0.6,2,14,1,0.999,"Drinking Rate:  0.6"
"138",190,0.6,0.6,2,14,1,1,"Drinking Rate:  0.6"
"139",210,0.6,0.6,2,14,1,1,"Drinking Rate:  0.6"
"140",230,0.6,0.6,2,14,1,1,"Drinking Rate:  0.6"
"141",250,0.6,0.6,2,14,1,1,"Drinking Rate:  0.6"
"142",270,0.6,0.6,2,14,1,1,"Drinking Rate:  0.6"
"143",290,0.6,0.6,2,14,1,1,"Drinking Rate:  0.6"
"144",50,0.8,0.6,2,14,0.788,0.634,"Drinking Rate:  0.6"
"145",70,0.8,0.6,2,14,0.915,0.796,"Drinking Rate:  0.6"
"146",90,0.8,0.6,2,14,0.964,0.9,"Drinking Rate:  0.6"
"147",110,0.8,0.6,2,14,0.975,0.938,"Drinking Rate:  0.6"
"148",130,0.8,0.6,2,14,0.995,0.985,"Drinking Rate:  0.6"
"149",150,0.8,0.6,2,14,0.997,0.99,"Drinking Rate:  0.6"
"150",170,0.8,0.6,2,14,0.999,0.994,"Drinking Rate:  0.6"
"151",190,0.8,0.6,2,14,1,0.996,"Drinking Rate:  0.6"
"152",210,0.8,0.6,2,14,1,0.997,"Drinking Rate:  0.6"
"153",230,0.8,0.6,2,14,1,1,"Drinking Rate:  0.6"
"154",250,0.8,0.6,2,14,1,0.999,"Drinking Rate:  0.6"
"155",270,0.8,0.6,2,14,1,1,"Drinking Rate:  0.6"
"156",290,0.8,0.6,2,14,1,1,"Drinking Rate:  0.6"
"157",50,0.2,0.8,2,14,0.855,0.699,"Drinking Rate:  0.8"
"158",70,0.2,0.8,2,14,0.943,0.863,"Drinking Rate:  0.8"
"159",90,0.2,0.8,2,14,0.97,0.922,"Drinking Rate:  0.8"
"160",110,0.2,0.8,2,14,0.992,0.971,"Drinking Rate:  0.8"
"161",130,0.2,0.8,2,14,0.998,0.986,"Drinking Rate:  0.8"
"162",150,0.2,0.8,2,14,0.998,0.994,"Drinking Rate:  0.8"
"163",170,0.2,0.8,2,14,1,0.996,"Drinking Rate:  0.8"
"164",190,0.2,0.8,2,14,1,0.999,"Drinking Rate:  0.8"
"165",210,0.2,0.8,2,14,1,1,"Drinking Rate:  0.8"
"166",230,0.2,0.8,2,14,1,1,"Drinking Rate:  0.8"
"167",250,0.2,0.8,2,14,1,1,"Drinking Rate:  0.8"
"168",270,0.2,0.8,2,14,1,1,"Drinking Rate:  0.8"
"169",290,0.2,0.8,2,14,1,1,"Drinking Rate:  0.8"
"170",50,0.4,0.8,2,14,0.882,0.762,"Drinking Rate:  0.8"
"171",70,0.4,0.8,2,14,0.95,0.885,"Drinking Rate:  0.8"
"172",90,0.4,0.8,2,14,0.98,0.945,"Drinking Rate:  0.8"
"173",110,0.4,0.8,2,14,0.993,0.975,"Drinking Rate:  0.8"
"174",130,0.4,0.8,2,14,0.998,0.987,"Drinking Rate:  0.8"
"175",150,0.4,0.8,2,14,1,0.996,"Drinking Rate:  0.8"
"176",170,0.4,0.8,2,14,1,1,"Drinking Rate:  0.8"
"177",190,0.4,0.8,2,14,1,0.999,"Drinking Rate:  0.8"
"178",210,0.4,0.8,2,14,1,0.998,"Drinking Rate:  0.8"
"179",230,0.4,0.8,2,14,1,1,"Drinking Rate:  0.8"
"180",250,0.4,0.8,2,14,1,1,"Drinking Rate:  0.8"
"181",270,0.4,0.8,2,14,1,1,"Drinking Rate:  0.8"
"182",290,0.4,0.8,2,14,1,1,"Drinking Rate:  0.8"
"183",50,0.6,0.8,2,14,0.856,0.708,"Drinking Rate:  0.8"
"184",70,0.6,0.8,2,14,0.928,0.848,"Drinking Rate:  0.8"
"185",90,0.6,0.8,2,14,0.972,0.921,"Drinking Rate:  0.8"
"186",110,0.6,0.8,2,14,0.987,0.962,"Drinking Rate:  0.8"
"187",130,0.6,0.8,2,14,0.996,0.985,"Drinking Rate:  0.8"
"188",150,0.6,0.8,2,14,0.997,0.991,"Drinking Rate:  0.8"
"189",170,0.6,0.8,2,14,0.999,0.995,"Drinking Rate:  0.8"
"190",190,0.6,0.8,2,14,0.999,0.995,"Drinking Rate:  0.8"
"191",210,0.6,0.8,2,14,1,1,"Drinking Rate:  0.8"
"192",230,0.6,0.8,2,14,1,1,"Drinking Rate:  0.8"
"193",250,0.6,0.8,2,14,1,1,"Drinking Rate:  0.8"
"194",270,0.6,0.8,2,14,1,1,"Drinking Rate:  0.8"
"195",290,0.6,0.8,2,14,1,1,"Drinking Rate:  0.8"
"196",50,0.8,0.8,2,14,0.75,0.568,"Drinking Rate:  0.8"
"197",70,0.8,0.8,2,14,0.84,0.72,"Drinking Rate:  0.8"
"198",90,0.8,0.8,2,14,0.908,0.809,"Drinking Rate:  0.8"
"199",110,0.8,0.8,2,14,0.964,0.902,"Drinking Rate:  0.8"
"200",130,0.8,0.8,2,14,0.971,0.936,"Drinking Rate:  0.8"
"201",150,0.8,0.8,2,14,0.987,0.948,"Drinking Rate:  0.8"
"202",170,0.8,0.8,2,14,0.994,0.969,"Drinking Rate:  0.8"
"203",190,0.8,0.8,2,14,0.999,0.985,"Drinking Rate:  0.8"
"204",210,0.8,0.8,2,14,0.997,0.992,"Drinking Rate:  0.8"
"205",230,0.8,0.8,2,14,1,0.996,"Drinking Rate:  0.8"
"206",250,0.8,0.8,2,14,1,0.999,"Drinking Rate:  0.8"
"207",270,0.8,0.8,2,14,1,0.998,"Drinking Rate:  0.8"
"208",290,0.8,0.8,2,14,1,1,"Drinking Rate:  0.8"
